guess,ev,max guesses,pass,time
sinks,3.78575,5,0,314.68473
sizer,3.71274,5,0,72.66595
skied,3.66868,5,0,72.05494
skiff,3.89935,5,0,312.74240
skull,3.79006,5,0,318.98566
sleet,3.60778,5,0,21.20889
slice,3.53866,5,0,22.00915
slide,3.56933,5,0,52.50253
slink,3.62160,5,0,121.96069
slope,3.54903,5,0,20.01971
sloth,3.58575,5,0,76.71826
slung,3.64881,5,0,196.42281
slyly,3.98013,5,1,1425.24597
spars,3.71922,5,0,68.78013
sperm,3.64363,5,0,21.47966
spied,3.60130,5,0,25.12150
spies,3.75464,5,0,74.96757
spits,3.73564,5,0,208.65449
sprig,3.63758,5,0,55.67658
squat,3.74816,5,0,191.04187
stall,3.67257,5,0,115.50811
steal,3.56458,5,0,28.54437
steep,3.69071,5,0,33.03663
steps,3.77279,5,0,82.80196
stiff,3.81728,5,0,363.24136
strip,3.57365,5,0,37.82010
stuff,3.85443,5,0,285.49773
sulky,3.70842,5,0,227.34375
swamp,3.71058,5,0,40.33417
swash,3.81771,5,0,164.79347
swipe,3.66566,5,0,57.16540
swoon,3.76415,5,0,180.62743
table,3.54644,5,0,10.92879
taboo,3.74471,5,0,92.01311
tails,3.54514,5,0,39.54432
takes,3.65227,5,0,11.28390
tamed,3.59698,5,0,13.94234
tamer,3.57019,5,0,12.74849
tango,3.62808,5,0,42.73899
tarot,3.65961,5,0,45.76254
taser,3.53564,5,0,15.93723
taste,3.66091,5,0,28.14091
taunt,3.70497,5,0,178.75726
tempt,3.75551,5,0,60.53912
tenth,3.73477,5,0,117.01019
there,3.64276,5,0,28.08845
theta,3.74903,5,0,72.11358
thorn,3.58618,5,0,46.56636
three,3.63153,5,0,36.18394
thumb,3.73434,5,0,159.52013
tipsy,3.62549,5,0,90.44558
toast,3.67171,5,0,52.81323
toled,3.55940,5,0,18.70788
tonal,3.55983,5,0,31.15513
tonic,3.60778,5,0,57.68378
topic,3.64579,5,0,49.36183
torus,3.59093,5,0,29.90095
toter,3.66609,5,0,19.79916
tours,3.59266,5,0,39.11863
towns,3.64536,5,0,58.21410
tract,3.64449,5,0,41.35756
trans,3.54687,5,0,13.43252
trays,3.61512,5,0,19.17591
trend,3.58056,5,0,11.88829
trice,3.51533,5,0,13.00346
tried,3.55940,5,0,24.83345
trite,3.63758,5,0,29.77380
trued,3.57667,5,0,22.17965
trunk,3.66955,5,0,75.44213
tuber,3.61339,5,0,19.15793
tumor,3.61253,5,0,51.85074
twang,3.68510,5,0,58.36173
twice,3.62549,5,0,33.20369
twins,3.65961,5,0,84.98628
tyres,3.61037,5,0,9.76096
ulcer,3.61166,5,0,24.32965
umber,3.69676,5,0,34.00338
umped,3.70454,5,0,33.31310
uncut,3.78834,5,0,316.75771
unset,3.60864,5,0,16.98778
untie,3.61771,5,0,56.54161
unwed,3.72138,5,0,45.08688
upend,3.67905,5,0,124.02764
urged,3.64406,5,0,58.10166
users,3.81469,5,0,71.67552
vaded,3.82981,5,0,43.06253
value,3.68207,5,0,41.58434
vapor,3.67387,5,0,35.56102
veers,3.77408,5,0,74.25767
verge,3.74903,5,0,94.20016
vicar,3.66911,5,0,44.80084
vigor,3.70799,5,0,130.53143
visas,3.84968,5,0,197.69622
voila,3.69417,5,0,155.88071
waged,3.69417,5,0,21.90203
waist,3.59784,5,0,46.70385
waive,3.73521,5,0,43.05874
wants,3.64492,5,0,47.65045
waste,3.61728,5,0,13.40449
watts,3.76976,5,0,99.61746
weeps,3.78747,5,0,81.24649
welsh,3.67948,5,0,74.89641
wheat,3.68769,5,0,28.84028
where,3.73866,5,0,53.85580
whirl,3.67430,5,0,120.81546
whose,3.67041,5,0,51.63648
wider,3.63456,5,0,51.23745
widow,3.87041,5,0,331.06768
wired,3.63326,5,0,49.35435
witty,3.81901,5,0,273.54092
worth,3.68164,5,0,47.62578
woven,3.73650,5,0,46.97773
wrack,3.70929,5,0,36.09001
wreak,3.72397,5,0,29.17517
wrier,3.72657,5,0,99.77242
yahoo,3.83888,5,0,382.61646
aback,3.84320,5,0,156.09854
admin,3.67343,5,0,192.84384
agony,3.66609,5,0,147.70047
ailed,3.57019,5,0,70.55501
alarm,3.70756,5,0,107.97945
alike,3.62030,5,0,57.96496
allow,3.77754,5,0,198.73767
amber,3.65184,5,0,21.23763
amble,3.62981,5,0,28.26257
amend,3.64147,5,0,45.01753
amino,3.67257,5,0,171.68789
anime,3.61339,5,0,30.50820
